Sexo;Ciclo;Nivel de formación más apropiado para realizar su trabajo;Total
Ambos sexos;21 - ADMINISTRACIÓN Y GESTIÓN;No consta;208
Ambos sexos;Técnico superior en asistencia a la dirección;Total trabajando;2.015
Ambos sexos;Técnico superior en asistencia a la dirección;Título universitario;272
Ambos sexos;Técnico superior en asistencia a la dirección;Formación profesional de grado superior;1.076
Ambos sexos;Técnico superior en asistencia a la dirección;Formación profesional de grado medio / bachillerato;291
Ambos sexos;Técnico superior en asistencia a la dirección;Formación profesional básica;123
Ambos sexos;Técnico superior en asistencia a la dirección;ESO, EGB, etc ...;253
Ambos sexos;Técnico superior en asistencia a la dirección;No consta;0
Ambos sexos;Técnico superior en administración y finanzas;Total trabajando;11.693
Ambos sexos;Técnico superior en administración y finanzas;Título universitario;1.288
Ambos sexos;Técnico superior en administración y finanzas;Formación profesional de grado superior;7.088
Ambos sexos;Técnico superior en administración y finanzas;Formación profesional de grado medio / bachillerato;1.749
Ambos sexos;Técnico superior en administración y finanzas;Formación profesional básica;215
Ambos sexos;Técnico superior en administración y finanzas;ESO, EGB, etc ...;1.145
Ambos sexos;Técnico superior en administración y finanzas;No consta;208
Ambos sexos;22 - COMERCIO Y MARKETING;Total trabajando;5.756
Ambos sexos;22 - COMERCIO Y MARKETING;Título universitario;1.448
Ambos sexos;22 - COMERCIO Y MARKETING;Formación profesional de grado superior;2.808
Ambos sexos;22 - COMERCIO Y MARKETING;Formación profesional de grado medio / bachillerato;663
Ambos sexos;22 - COMERCIO Y MARKETING;Formación profesional básica;232
Ambos sexos;22 - COMERCIO Y MARKETING;ESO, EGB, etc ...;520
Ambos sexos;22 - COMERCIO Y MARKETING;No consta;85
Ambos sexos;Técnico superior en comercio internacional;Total trabajando;1.533
Ambos sexos;Técnico superior en comercio internacional;Título universitario;261
Ambos sexos;Técnico superior en comercio internacional;Formación profesional de grado superior;809
Ambos sexos;Técnico superior en comercio internacional;Formación profesional de grado medio / bachillerato;180
Ambos sexos;Técnico superior en comercio internacional;Formación profesional básica;63
Ambos sexos;Técnico superior en comercio internacional;ESO, EGB, etc ...;198
Ambos sexos;Técnico superior en comercio internacional;No consta;21
Ambos sexos;Técnico superior en transporte y logística;Total trabajando;687
Ambos sexos;Técnico superior en transporte y logística;Título universitario;67
Ambos sexos;Técnico superior en transporte y logística;Formación profesional de grado superior;351
Ambos sexos;Técnico superior en transporte y logística;Formación profesional de grado medio / bachillerato;92
Ambos sexos;Técnico superior en transporte y logística;Formación profesional básica;81
Ambos sexos;Técnico superior en transporte y logística;ESO, EGB, etc ...;74
Ambos sexos;Técnico superior en transporte y logística;No consta;22
Ambos sexos;TS en gestión de ventas y espacios comerciales TS en marketing y publicidad y Servicios al consumidor;Total trabajando;3.536
Ambos sexos;TS en gestión de ventas y espacios comerciales TS en marketing y publicidad y Servicios al consumidor;Título universitario;1.120
Ambos sexos;TS en gestión de ventas y espacios comerciales TS en marketing y publicidad y Servicios al consumidor;Formación profesional de grado superior;1.647
Ambos sexos;TS en gestión de ventas y espacios comerciales TS en marketing y publicidad y Servicios al consumidor;Formación profesional de grado medio / bachillerato;391
Ambos sexos;TS en gestión de ventas y espacios comerciales TS en marketing y publicidad y Servicios al consumidor;Formación profesional básica;88
Ambos sexos;TS en gestión de ventas y espacios comerciales TS en marketing y publicidad y Servicios al consumidor;ESO, EGB, etc ...;248
Ambos sexos;TS en gestión de ventas y espacios comerciales TS en marketing y publicidad y Servicios al consumidor;No consta;42
Ambos sexos;23 - SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;Total trabajando;14.911
Ambos sexos;23 - SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;Título universitario;4.127
Ambos sexos;23 - SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;Formación profesional de grado superior;5.886
Ambos sexos;23 - SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;Formación profesional de grado medio / bachillerato;2.313
Ambos sexos;23 - SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;Formación profesional básica;623
Ambos sexos;23 - SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;ESO, EGB, etc ...;1.714
Ambos sexos;23 - SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;No consta;249
Ambos sexos;Técnico superior en educación infantil;Total trabajando;9.625
Ambos sexos;Técnico superior en educación infantil;Título universitario;2.519
Ambos sexos;Técnico superior en educación infantil;Formación profesional de grado superior;3.783
Ambos sexos;Técnico superior en educación infantil;Formación profesional de grado medio / bachillerato;1.408
Ambos sexos;Técnico superior en educación infantil;Formación profesional básica;449
Ambos sexos;Técnico superior en educación infantil;ESO, EGB, etc ...;1.315
Ambos sexos;Técnico superior en educación infantil;No consta;151
Ambos sexos;Técnico superior en animación sociocultural y turística;Total trabajando;1.114
Ambos sexos;Técnico superior en animación sociocultural y turística;Título universitario;241
Ambos sexos;Técnico superior en animación sociocultural y turística;Formación profesional de grado superior;420
Ambos sexos;Técnico superior en animación sociocultural y turística;Formación profesional de grado medio / bachillerato;183
Ambos sexos;Técnico superior en animación sociocultural y turística;Formación profesional básica;70
Ambos sexos;Técnico superior en animación sociocultural y turística;ESO, EGB, etc ...;159
Ambos sexos;Técnico superior en animación sociocultural y turística;No consta;40
Ambos sexos;Técnico superior en integración social;Total trabajando;3.612
Ambos sexos;Técnico superior en integración social;Título universitario;1.106
Ambos sexos;Técnico superior en integración social;Formación profesional de grado superior;1.512
Ambos sexos;Técnico superior en integración social;Formación profesional de grado medio / bachillerato;667
Ambos sexos;Técnico superior en integración social;Formación profesional básica;83
Ambos sexos;Técnico superior en integración social;ESO, EGB, etc ...;197
Ambos sexos;Técnico superior en integración social;No consta;45
Ambos sexos;Técnico superior en promoción de igualdad de género Interpretación de Lenguajes de Signos;Total trabajando;561
Ambos sexos;Técnico superior en promoción de igualdad de género Interpretación de Lenguajes de Signos;Título universitario;260
Ambos sexos;Técnico superior en promoción de igualdad de género Interpretación de Lenguajes de Signos;Formación profesional de grado superior;171
Ambos sexos;Técnico superior en promoción de igualdad de género Interpretación de Lenguajes de Signos;Formación profesional de grado medio / bachillerato;54
Ambos sexos;Técnico superior en promoción de igualdad de género Interpretación de Lenguajes de Signos;Formación profesional básica;20
Ambos sexos;Técnico superior en promoción de igualdad de género Interpretación de Lenguajes de Signos;ESO, EGB, etc ...;42
Ambos sexos;Técnico superior en promoción de igualdad de género Interpretación de Lenguajes de Signos;No consta;13
Ambos sexos;24 - HOSTELERÍA Y TURISMO;Total trabajando;4.371
Ambos sexos;24 - HOSTELERÍA Y TURISMO;Título universitario;505
Ambos sexos;24 - HOSTELERÍA Y TURISMO;Formación profesional de grado superior;2.324
Ambos sexos;24 - HOSTELERÍA Y TURISMO;Formación profesional de grado medio / bachillerato;763
Ambos sexos;24 - HOSTELERÍA Y TURISMO;Formación profesional básica;324
Ambos sexos;24 - HOSTELERÍA Y TURISMO;ESO, EGB, etc ...;361
Ambos sexos;24 - HOSTELERÍA Y TURISMO;No consta;94
Ambos sexos;Técnico superior en gestión de alojamientos turísticos;Total trabajando;928
Ambos sexos;Técnico superior en gestión de alojamientos turísticos;Título universitario;93
Ambos sexos;Técnico superior en gestión de alojamientos turísticos;Formación profesional de grado superior;525
Ambos sexos;Técnico superior en gestión de alojamientos turísticos;Formación profesional de grado medio / bachillerato;113
Ambos sexos;Técnico superior en gestión de alojamientos turísticos;Formación profesional básica;90
Ambos sexos;Técnico superior en gestión de alojamientos turísticos;ESO, EGB, etc ...;73
Ambos sexos;Técnico superior en gestión de alojamientos turísticos;No consta;34
Ambos sexos;Técnico superior en guía, información y asistencias turísticas;Total trabajando;1.125
Ambos sexos;Técnico superior en guía, información y asistencias turísticas;Título universitario;172
Ambos sexos;Técnico superior en guía, información y asistencias turísticas;Formación profesional de grado superior;547
Ambos sexos;Técnico superior en guía, información y asistencias turísticas;Formación profesional de grado medio / bachillerato;122
Ambos sexos;Técnico superior en guía, información y asistencias turísticas;Formación profesional básica;128
Ambos sexos;Técnico superior en guía, información y asistencias turísticas;ESO, EGB, etc ...;146
Ambos sexos;Técnico superior en guía, información y asistencias turísticas;No consta;11
Ambos sexos;Técnico superior en agencias de viajes y gestión de eventos;Total trabajando;740
Ambos sexos;Técnico superior en agencias de viajes y gestión de eventos;Título universitario;135
Ambos sexos;Técnico superior en agencias de viajes y gestión de eventos;Formación profesional de grado superior;381
Ambos sexos;Técnico superior en agencias de viajes y gestión de eventos;Formación profesional de grado medio / bachillerato;94
Ambos sexos;Técnico superior en agencias de viajes y gestión de eventos;Formación profesional básica;33
Ambos sexos;Técnico superior en agencias de viajes y gestión de eventos;ESO, EGB, etc ...;68
Ambos sexos;Técnico superior en agencias de viajes y gestión de eventos;No consta;29
Ambos sexos;TS en dirección de cocina y TS en dirección de servicios de restauración;Total trabajando;1.577
Ambos sexos;TS en dirección de cocina y TS en dirección de servicios de restauración;Título universitario;105
Ambos sexos;TS en dirección de cocina y TS en dirección de servicios de restauración;Formación profesional de grado superior;870
Ambos sexos;TS en dirección de cocina y TS en dirección de servicios de restauración;Formación profesional de grado medio / bachillerato;434
Ambos sexos;TS en dirección de cocina y TS en dirección de servicios de restauración;Formación profesional básica;73
Ambos sexos;TS en dirección de cocina y TS en dirección de servicios de restauración;ESO, EGB, etc ...;74
Ambos sexos;TS en dirección de cocina y TS en dirección de servicios de restauración;No consta;21
Ambos sexos;25 - ACTIVIDADES FÍSICAS Y DEPORTIVAS;Total trabajando;4.826
Ambos sexos;25 - ACTIVIDADES FÍSICAS Y DEPORTIVAS;Título universitario;1.250
Ambos sexos;25 - ACTIVIDADES FÍSICAS Y DEPORTIVAS;Formación profesional de grado superior;2.184
Ambos sexos;25 - ACTIVIDADES FÍSICAS Y DEPORTIVAS;Formación profesional de grado medio / bachillerato;403
Ambos sexos;25 - ACTIVIDADES FÍSICAS Y DEPORTIVAS;Formación profesional básica;396
Ambos sexos;25 - ACTIVIDADES FÍSICAS Y DEPORTIVAS;ESO, EGB, etc ...;447
Ambos sexos;25 - ACTIVIDADES FÍSICAS Y DEPORTIVAS;No consta;146
Ambos sexos;15 - VIDRIO Y CERÁMICA 16 - MADERA, MUEBLE Y CORCHO 17 - TEXTIL, CONFECCIÓN Y PIEL 26 - ARTES Y ARTESANÍAS;Total trabajando;433
Ambos sexos;15 - VIDRIO Y CERÁMICA 16 - MADERA, MUEBLE Y CORCHO 17 - TEXTIL, CONFECCIÓN Y PIEL 26 - ARTES Y ARTESANÍAS;Título universitario;54
Ambos sexos;15 - VIDRIO Y CERÁMICA 16 - MADERA, MUEBLE Y CORCHO 17 - TEXTIL, CONFECCIÓN Y PIEL 26 - ARTES Y ARTESANÍAS;Formación profesional de grado superior;224
Ambos sexos;15 - VIDRIO Y CERÁMICA 16 - MADERA, MUEBLE Y CORCHO 17 - TEXTIL, CONFECCIÓN Y PIEL 26 - ARTES Y ARTESANÍAS;Formación profesional de grado medio / bachillerato;45
Ambos sexos;15 - VIDRIO Y CERÁMICA 16 - MADERA, MUEBLE Y CORCHO 17 - TEXTIL, CONFECCIÓN Y PIEL 26 - ARTES Y ARTESANÍAS;Formación profesional básica;19
Ambos sexos;15 - VIDRIO Y CERÁMICA 16 - MADERA, MUEBLE Y CORCHO 17 - TEXTIL, CONFECCIÓN Y PIEL 26 - ARTES Y ARTESANÍAS;ESO, EGB, etc ...;83
Ambos sexos;15 - VIDRIO Y CERÁMICA 16 - MADERA, MUEBLE Y CORCHO 17 - TEXTIL, CONFECCIÓN Y PIEL 26 - ARTES Y ARTESANÍAS;No consta;9
Hombres;Total;Total trabajando;45.468
Hombres;Total;Título universitario;7.610
Hombres;Total;Formación profesional de grado superior;25.516
Hombres;Total;Formación profesional de grado medio / bachillerato;5.190
Hombres;Total;Formación profesional básica;1.867
Hombres;Total;ESO, EGB, etc ...;4.397
Hombres;Total;No consta;887
Hombres;01 - AGRARIA;Total trabajando;1.196
Hombres;01 - AGRARIA;Título universitario;91
Hombres;01 - AGRARIA;Formación profesional de grado superior;611
Hombres;01 - AGRARIA;Formación profesional de grado medio / bachillerato;140
Hombres;01 - AGRARIA;Formación profesional básica;128
Hombres;01 - AGRARIA;ESO, EGB, etc ...;217
Hombres;01 - AGRARIA;No consta;11
Hombres;Técnico superior en gestión forestal y del medio natural;Total trabajando;902
Hombres;Técnico superior en gestión forestal y del medio natural;Título universitario;55
Hombres;Técnico superior en gestión forestal y del medio natural;Formación profesional de grado superior;442
Hombres;Técnico superior en gestión forestal y del medio natural;Formación profesional de grado medio / bachillerato;105
Hombres;Técnico superior en gestión forestal y del medio natural;Formación profesional básica;105
Hombres;Técnico superior en gestión forestal y del medio natural;ESO, EGB, etc ...;184
Hombres;Técnico superior en gestión forestal y del medio natural;No consta;11
Hombres;TS en paisajismo y medio rural y TS Gestión y organización de empresas agropecuarias;Total trabajando;295
Hombres;TS en paisajismo y medio rural y TS Gestión y organización de empresas agropecuarias;Título universitario;36
Hombres;TS en paisajismo y medio rural y TS Gestión y organización de empresas agropecuarias;Formación profesional de grado superior;169
Hombres;TS en paisajismo y medio rural y TS Gestión y organización de empresas agropecuarias;Formación profesional de grado medio / bachillerato;35
Hombres;TS en paisajismo y medio rural y TS Gestión y organización de empresas agropecuarias;Formación profesional básica;23
Hombres;TS en paisajismo y medio rural y TS Gestión y organización de empresas agropecuarias;ESO, EGB, etc ...;33
Hombres;TS en paisajismo y medio rural y TS Gestión y organización de empresas agropecuarias;No consta;0
Hombres;02 - MARÍTIMO-PESQUERA;Total trabajando;502
Hombres;02 - MARÍTIMO-PESQUERA;Título universitario;59
Hombres;02 - MARÍTIMO-PESQUERA;Formación profesional de grado superior;331
Hombres;02 - MARÍTIMO-PESQUERA;Formación profesional de grado medio / bachillerato;55
Hombres;02 - MARÍTIMO-PESQUERA;Formación profesional básica;8
Hombres;02 - MARÍTIMO-PESQUERA;ESO, EGB, etc ...;44
Hombres;02 - MARÍTIMO-PESQUERA;No consta;5
Hombres;03 - INDUSTRIAS ALIMENTARIAS;Total trabajando;232
Hombres;03 - INDUSTRIAS ALIMENTARIAS;Título universitario;26
Hombres;03 - INDUSTRIAS ALIMENTARIAS;Formación profesional de grado superior;134
Hombres;03 - INDUSTRIAS ALIMENTARIAS;Formación profesional de grado medio / bachillerato;33
Hombres;03 - INDUSTRIAS ALIMENTARIAS;Formación profesional básica;10
Hombres;03 - INDUSTRIAS ALIMENTARIAS;ESO, EGB, etc ...;27
Hombres;03 - INDUSTRIAS ALIMENTARIAS;No consta;3
Hombres;04 - QUÍMICA;Total trabajando;667
Hombres;04 - QUÍMICA;Título universitario;84
Hombres;04 - QUÍMICA;Formación profesional de grado superior;424
Hombres;04 - QUÍMICA;Formación profesional de grado medio / bachillerato;50
Hombres;04 - QUÍMICA;Formación profesional básica;41
Hombres;04 - QUÍMICA;ESO, EGB, etc ...;46
Hombres;04 - QUÍMICA;No consta;22
Hombres;Técnico superior en laboratorio de análisis y de control de calidad;Total trabajando;359
Hombres;Técnico superior en laboratorio de análisis y de control de calidad;Título universitario;62
Hombres;Técnico superior en laboratorio de análisis y de control de calidad;Formación profesional de grado superior;200
Hombres;Técnico superior en laboratorio de análisis y de control de calidad;Formación profesional de grado medio / bachillerato;32
Hombres;Técnico superior en laboratorio de análisis y de control de calidad;Formación profesional básica;19
Hombres;Técnico superior en laboratorio de análisis y de control de calidad;ESO, EGB, etc ...;39
Hombres;Técnico superior en laboratorio de análisis y de control de calidad;No consta;7
Hombres;Técnico superior en química industrial Fabricación de Productos Farmaceuticos e Industrias de proceso de pasta y papel;Total trabajando;309
Hombres;Técnico superior en química industrial Fabricación de Productos Farmaceuticos e Industrias de proceso de pasta y papel;Título universitario;22
Hombres;Técnico superior en química industrial Fabricación de Productos Farmaceuticos e Industrias de proceso de pasta y papel;Formación profesional de grado superior;224
Hombres;Técnico superior en química industrial Fabricación de Productos Farmaceuticos e Industrias de proceso de pasta y papel;Formación profesional de grado medio / bachillerato;18
Hombres;Técnico superior en química industrial Fabricación de Productos Farmaceuticos e Industrias de proceso de pasta y papel;Formación profesional básica;22
Hombres;Técnico superior en química industrial Fabricación de Productos Farmaceuticos e Industrias de proceso de pasta y papel;ESO, EGB, etc ...;7
Hombres;Técnico superior en química industrial Fabricación de Productos Farmaceuticos e Industrias de proceso de pasta y papel;No consta;15
Hombres;05 - IMAGEN PERSONAL;Total trabajando;47
Hombres;05 - IMAGEN PERSONAL;Título universitario;0
Hombres;05 - IMAGEN PERSONAL;Formación profesional de grado superior;33
Hombres;05 - IMAGEN PERSONAL;Formación profesional de grado medio / bachillerato;6
Hombres;05 - IMAGEN PERSONAL;Formación profesional básica;3
Hombres;05 - IMAGEN PERSONAL;ESO, EGB, etc ...;6
Hombres;05 - IMAGEN PERSONAL;No consta;0
Hombres;Técnico superior en estética integral y bienestar;Total trabajando;17
Hombres;Técnico superior en estética integral y bienestar;Título universitario;0
Hombres;Técnico superior en estética integral y bienestar;Formación profesional de grado superior;13
Hombres;Técnico superior en estética integral y bienestar;Formación profesional de grado medio / bachillerato;2
Hombres;Técnico superior en estética integral y bienestar;Formación profesional básica;0
Hombres;Técnico superior en estética integral y bienestar;ESO, EGB, etc ...;1
Hombres;Técnico superior en estética integral y bienestar;No consta;0
Hombres;TS en estilismo y dirección de peluquería y TS en asesoría de imagen personal y corporativa;Total trabajando;31
Hombres;TS en estilismo y dirección de peluquería y TS en asesoría de imagen personal y corporativa;Título universitario;0
Hombres;TS en estilismo y dirección de peluquería y TS en asesoría de imagen personal y corporativa;Formación profesional de grado superior;19
Hombres;TS en estilismo y dirección de peluquería y TS en asesoría de imagen personal y corporativa;Formación profesional de grado medio / bachillerato;4
Hombres;TS en estilismo y dirección de peluquería y TS en asesoría de imagen personal y corporativa;Formación profesional básica;3
Hombres;TS en estilismo y dirección de peluquería y TS en asesoría de imagen personal y corporativa;ESO, EGB, etc ...;4
Hombres;TS en estilismo y dirección de peluquería y TS en asesoría de imagen personal y corporativa;No consta;0
Hombres;06 - SANIDAD;Total trabajando;2.957
Hombres;06 - SANIDAD;Título universitario;1.012
Hombres;06 - SANIDAD;Formación profesional de grado superior;1.098
Hombres;06 - SANIDAD;Formación profesional de grado medio / bachillerato;450
Hombres;06 - SANIDAD;Formación profesional básica;58
Hombres;06 - SANIDAD;ESO, EGB, etc ...;302
Hombres;06 - SANIDAD;No consta;38
Hombres;Técnico superior en audiología protésica;Total trabajando;184
Hombres;Técnico superior en audiología protésica;Título universitario;82
Hombres;Técnico superior en audiología protésica;Formación profesional de grado superior;91
Hombres;Técnico superior en audiología protésica;Formación profesional de grado medio / bachillerato;7
Hombres;Técnico superior en audiología protésica;Formación profesional básica;4
Hombres;Técnico superior en audiología protésica;ESO, EGB, etc ...;0
Hombres;Técnico superior en audiología protésica;No consta;0
Hombres;Técnico superior en prótesis dentales Higiene bucodental;Total trabajando;620
Hombres;Técnico superior en prótesis dentales Higiene bucodental;Título universitario;101
Hombres;Técnico superior en prótesis dentales Higiene bucodental;Formación profesional de grado superior;328
Hombres;Técnico superior en prótesis dentales Higiene bucodental;Formación profesional de grado medio / bachillerato;95
Hombres;Técnico superior en prótesis dentales Higiene bucodental;Formación profesional básica;14
Hombres;Técnico superior en prótesis dentales Higiene bucodental;ESO, EGB, etc ...;69
Hombres;Técnico superior en prótesis dentales Higiene bucodental;No consta;13
Hombres;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;Total trabajando;787
Hombres;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;Título universitario;213
Hombres;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;Formación profesional de grado superior;340
Hombres;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;Formación profesional de grado medio / bachillerato;134
Hombres;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;Formación profesional básica;0
Hombres;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;ESO, EGB, etc ...;100
Hombres;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;No consta;0
Hombres;Otros ciclos de Sanidad;Total trabajando;1.365
Hombres;Otros ciclos de Sanidad;Título universitario;615
Hombres;Otros ciclos de Sanidad;Formación profesional de grado superior;339
Hombres;Otros ciclos de Sanidad;Formación profesional de grado medio / bachillerato;214
Hombres;Otros ciclos de Sanidad;Formación profesional básica;40
Hombres;Otros ciclos de Sanidad;ESO, EGB, etc ...;132
Hombres;Otros ciclos de Sanidad;No consta;25
Hombres;07 - SEGURIDAD Y MEDIO AMBIENTE;Total trabajando;1.118
Hombres;07 - SEGURIDAD Y MEDIO AMBIENTE;Título universitario;165
Hombres;07 - SEGURIDAD Y MEDIO AMBIENTE;Formación profesional de grado superior;646
Hombres;07 - SEGURIDAD Y MEDIO AMBIENTE;Formación profesional de grado medio / bachillerato;174
Hombres;07 - SEGURIDAD Y MEDIO AMBIENTE;Formación profesional básica;44
Hombres;07 - SEGURIDAD Y MEDIO AMBIENTE;ESO, EGB, etc ...;90
Hombres;07 - SEGURIDAD Y MEDIO AMBIENTE;No consta;0
Hombres;08 - FABRICACIÓN MECÁNICA;Total trabajando;2.111
Hombres;08 - FABRICACIÓN MECÁNICA;Título universitario;354
Hombres;08 - FABRICACIÓN MECÁNICA;Formación profesional de grado superior;1.366
Hombres;08 - FABRICACIÓN MECÁNICA;Formación profesional de grado medio / bachillerato;185
Hombres;08 - FABRICACIÓN MECÁNICA;Formación profesional básica;67
Hombres;08 - FABRICACIÓN MECÁNICA;ESO, EGB, etc ...;44
Hombres;08 - FABRICACIÓN MECÁNICA;No consta;95
Hombres;Técnico superior en programación de la producción en fabricación mecánica;Total trabajando;1.021
Hombres;Técnico superior en programación de la producción en fabricación mecánica;Título universitario;69
Hombres;Técnico superior en programación de la producción en fabricación mecánica;Formación profesional de grado superior;715
Hombres;Técnico superior en programación de la producción en fabricación mecánica;Formación profesional de grado medio / bachillerato;118
Hombres;Técnico superior en programación de la producción en fabricación mecánica;Formación profesional básica;19
Hombres;Técnico superior en programación de la producción en fabricación mecánica;ESO, EGB, etc ...;33
Hombres;Técnico superior en programación de la producción en fabricación mecánica;No consta;67
Hombres;TS en construcciones metálicas TS en diseño en fabricación mecánica Programación de la producción en moldeo de metales y polímeros y Óptica de anteojería;Total trabajando;1.090
Hombres;TS en construcciones metálicas TS en diseño en fabricación mecánica Programación de la producción en moldeo de metales y polímeros y Óptica de anteojería;Título universitario;285
Hombres;TS en construcciones metálicas TS en diseño en fabricación mecánica Programación de la producción en moldeo de metales y polímeros y Óptica de anteojería;Formación profesional de grado superior;651
Hombres;TS en construcciones metálicas TS en diseño en fabricación mecánica Programación de la producción en moldeo de metales y polímeros y Óptica de anteojería;Formación profesional de grado medio / bachillerato;67
Hombres;TS en construcciones metálicas TS en diseño en fabricación mecánica Programación de la producción en moldeo de metales y polímeros y Óptica de anteojería;Formación profesional básica;48
Hombres;TS en construcciones metálicas TS en diseño en fabricación mecánica Programación de la producción en moldeo de metales y polímeros y Óptica de anteojería;ESO, EGB, etc ...;11
Hombres;TS en construcciones metálicas TS en diseño en fabricación mecánica Programación de la producción en moldeo de metales y polímeros y Óptica de anteojería;No consta;28
Hombres;09 - INSTALACIÓN Y MANTENIMIENTO;Total trabajando;2.230
Hombres;09 - INSTALACIÓN Y MANTENIMIENTO;Título universitario;166
Hombres;09 - INSTALACIÓN Y MANTENIMIENTO;Formación profesional de grado superior;1.554
Hombres;09 - INSTALACIÓN Y MANTENIMIENTO;Formación profesional de grado medio / bachillerato;198
Hombres;09 - INSTALACIÓN Y MANTENIMIENTO;Formación profesional básica;38
Hombres;09 - INSTALACIÓN Y MANTENIMIENTO;ESO, EGB, etc ...;239
Hombres;09 - INSTALACIÓN Y MANTENIMIENTO;No consta;35
Hombres;Técnico superior en mecatrónica industrial;Total trabajando;1.649
Hombres;Técnico superior en mecatrónica industrial;Título universitario;117
Hombres;Técnico superior en mecatrónica industrial;Formación profesional de grado superior;1.231
Hombres;Técnico superior en mecatrónica industrial;Formación profesional de grado medio / bachillerato;76
Hombres;Técnico superior en mecatrónica industrial;Formación profesional básica;38
Hombres;Técnico superior en mecatrónica industrial;ESO, EGB, etc ...;169
Hombres;Técnico superior en mecatrónica industrial;No consta;17
Hombres;TS en desarrollo de proyectos de instalaciones térmicas y de fluidos y TS en mantenimiento de instalaciones térmicas y de fluidos;Total trabajando;581
Hombres;TS en desarrollo de proyectos de instalaciones térmicas y de fluidos y TS en mantenimiento de instalaciones térmicas y de fluidos;Título universitario;49
Hombres;TS en desarrollo de proyectos de instalaciones térmicas y de fluidos y TS en mantenimiento de instalaciones térmicas y de fluidos;Formación profesional de grado superior;323
Hombres;TS en desarrollo de proyectos de instalaciones térmicas y de fluidos y TS en mantenimiento de instalaciones térmicas y de fluidos;Formación profesional de grado medio / bachillerato;122
Hombres;TS en desarrollo de proyectos de instalaciones térmicas y de fluidos y TS en mantenimiento de instalaciones térmicas y de fluidos;Formación profesional básica;0
Hombres;TS en desarrollo de proyectos de instalaciones térmicas y de fluidos y TS en mantenimiento de instalaciones térmicas y de fluidos;ESO, EGB, etc ...;69
Hombres;TS en desarrollo de proyectos de instalaciones térmicas y de fluidos y TS en mantenimiento de instalaciones térmicas y de fluidos;No consta;18
Hombres;10 - ELECTRICIDAD Y ELECTRÓNICA;Total trabajando;6.604
Hombres;10 - ELECTRICIDAD Y ELECTRÓNICA;Título universitario;561
Hombres;10 - ELECTRICIDAD Y ELECTRÓNICA;Formación profesional de grado superior;4.295
Hombres;10 - ELECTRICIDAD Y ELECTRÓNICA;Formación profesional de grado medio / bachillerato;888
Hombres;10 - ELECTRICIDAD Y ELECTRÓNICA;Formación profesional básica;197
Hombres;10 - ELECTRICIDAD Y ELECTRÓNICA;ESO, EGB, etc ...;496
Hombres;10 - ELECTRICIDAD Y ELECTRÓNICA;No consta;167
Hombres;Técnico superior en sistemas electrotécnicos y automatizados;Total trabajando;2.219
Hombres;Técnico superior en sistemas electrotécnicos y automatizados;Título universitario;172
Hombres;Técnico superior en sistemas electrotécnicos y automatizados;Formación profesional de grado superior;1.485
Hombres;Técnico superior en sistemas electrotécnicos y automatizados;Formación profesional de grado medio / bachillerato;357
Hombres;Técnico superior en sistemas electrotécnicos y automatizados;Formación profesional básica;58
Hombres;Técnico superior en sistemas electrotécnicos y automatizados;ESO, EGB, etc ...;114
Hombres;Técnico superior en sistemas electrotécnicos y automatizados;No consta;33
Hombres;Técnico superior en sistemas de telecomunicaciones e informáticos;Total trabajando;1.781
Hombres;Técnico superior en sistemas de telecomunicaciones e informáticos;Título universitario;124
Hombres;Técnico superior en sistemas de telecomunicaciones e informáticos;Formación profesional de grado superior;1.079
Hombres;Técnico superior en sistemas de telecomunicaciones e informáticos;Formación profesional de grado medio / bachillerato;158
Hombres;Técnico superior en sistemas de telecomunicaciones e informáticos;Formación profesional básica;103
Hombres;Técnico superior en sistemas de telecomunicaciones e informáticos;ESO, EGB, etc ...;253
Hombres;Técnico superior en sistemas de telecomunicaciones e informáticos;No consta;63
Hombres;Técnico superior en mantenimiento electrónico;Total trabajando;1.046
Hombres;Técnico superior en mantenimiento electrónico;Título universitario;162
Hombres;Técnico superior en mantenimiento electrónico;Formación profesional de grado superior;580
Hombres;Técnico superior en mantenimiento electrónico;Formación profesional de grado medio / bachillerato;207
Hombres;Técnico superior en mantenimiento electrónico;Formación profesional básica;14
Hombres;Técnico superior en mantenimiento electrónico;ESO, EGB, etc ...;38
Hombres;Técnico superior en mantenimiento electrónico;No consta;44
Hombres;Técnico superior en automatización y robótica industrial;Total trabajando;1.559
Hombres;Técnico superior en automatización y robótica industrial;Título universitario;103
Hombres;Técnico superior en automatización y robótica industrial;Formación profesional de grado superior;1.151
